month,day_of_week,food_category,order_platform,payment_method,time_slot,items_ordered,order_value,discount_percent,prep_time_mins,delivery_time_mins,is_repeat_customer,distance_km,driver_rating,weather_condition,kitchen_load,customer_complaint_history,payment_failed_attempt,promo_code_used,order_status
Apr-24,Sunday,Chinese,Swiggy,Debit Card,Dinner (8-11pm),1,202.72,10,17,29,0,2.1,3.7,Stormy,High,1,1,0,Cancelled
Oct-23,Sunday,South Indian,Zomato,UPI,Dinner (8-11pm),2,356.6,0,13,33,0,15.6,4,Cloudy,Medium,0,1,1,Delivered
Oct-23,Monday,Wraps & Rolls,Website,Credit Card,Afternoon (2-5pm),4,994.28,5,10,27,0,5.1,4.3,Rainy,Medium,0,0,0,Delivered
Jun-23,Thursday,Desserts,Direct App,Wallet,Late Night (11pm-2am),2,166.44,0,5,25,0,2.6,3.9,Clear,Low,0,0,0,Delivered
Sep-23,Thursday,Wraps & Rolls,Website,Cash on Delivery,Dinner (8-11pm),2,356.04,0,16,23,0,23.8,2.5,Clear,High,0,0,0,Delivered
Sep-23,Monday,South Indian,Swiggy,Cash on Delivery,Late Night (11pm-2am),1,139.32,15,12,49,0,24.2,3.3,Cloudy,High,0,0,0,Delivered
Jan-24,Friday,Biryani,Swiggy,Wallet,Lunch (11am-2pm),6,1275.24,15,22,48,0,20.4,3.8,Rainy,Low,0,0,1,Delivered
Apr-23,Wednesday,South Indian,Zomato,UPI,Morning (7-11am),6,556.02,10,22,23,0,8.3,2.7,Cloudy,Medium,1,1,0,Cancelled
Aug-23,Monday,Chinese,Zomato,Cash on Delivery,Afternoon (2-5pm),4,1591.84,25,20,33,0,3.3,3.4,Clear,Medium,0,1,0,Cancelled
May-23,Saturday,Beverages,Swiggy,Debit Card,Lunch (11am-2pm),2,335.24,0,10,19,0,17.4,2.6,Rainy,Low,0,0,0,Delivered
Jun-23,Friday,Biryani,Swiggy,Cash on Delivery,Morning (7-11am),5,1533,5,23,37,0,11.6,2.7,Rainy,Very High,1,0,0,Cancelled
Sep-23,Sunday,Pasta,Swiggy,Credit Card,Dinner (8-11pm),3,562.83,15,28,32,0,3.9,3.5,Cloudy,Medium,0,1,0,Delivered
Mar-23,Saturday,Pasta,Website,Wallet,Late Night (11pm-2am),5,1876.05,25,16,45,0,12.9,2.8,Rainy,Low,0,1,0,Cancelled
Mar-23,Monday,Wraps & Rolls,Website,Wallet,Dinner (8-11pm),3,698.13,15,8,36,0,1.8,3.9,Rainy,Medium,0,0,1,Delivered
Oct-24,Sunday,South Indian,Direct App,Wallet,Lunch (11am-2pm),5,428.25,0,19,32,0,22.8,4.2,Cloudy,High,2,0,0,Delivered
Feb-23,Thursday,Chinese,Swiggy,Debit Card,Afternoon (2-5pm),5,1482.1,5,15,31,0,7.2,4.5,Clear,Low,0,0,0,Delivered
Dec-23,Sunday,Burgers,Direct App,Cash on Delivery,Late Night (11pm-2am),6,1414.5,0,12,16,0,16.9,3,Clear,High,1,0,0,Delivered
May-23,Friday,Biryani,Zomato,UPI,Evening (5-8pm),3,1175.85,10,20,34,0,8.5,2.9,Clear,Medium,0,0,0,Delivered
Apr-23,Monday,Chinese,Direct App,Credit Card,Evening (5-8pm),2,497.94,10,28,17,0,13.5,2.8,Clear,Low,0,0,0,Delivered
Aug-24,Monday,Healthy Bowls,Website,UPI,Dinner (8-11pm),2,870.96,0,15,68,0,14.1,4.1,Clear,Low,1,0,1,Refunded
Jun-24,Monday,Pasta,Swiggy,Cash on Delivery,Dinner (8-11pm),3,563.55,5,15,40,0,5.4,4.3,Clear,Medium,0,0,1,Delivered
May-23,Tuesday,Burgers,Swiggy,UPI,Lunch (11am-2pm),4,1034,5,18,34,0,24.3,2.6,Clear,Medium,1,0,0,Delivered
Sep-23,Sunday,South Indian,Zomato,Debit Card,Lunch (11am-2pm),6,1271.64,0,21,31,0,19.6,4.8,Clear,Very High,0,0,0,Delivered
Jan-23,Wednesday,Burgers,Website,Wallet,Dinner (8-11pm),3,489.42,0,11,18,0,23.5,2.6,Rainy,High,1,1,1,Cancelled
Nov-24,Sunday,South Indian,Swiggy,UPI,Morning (7-11am),2,532.52,10,12,27,0,22.5,3.9,Stormy,Very High,1,1,0,Cancelled
Apr-23,Friday,Pasta,Zomato,UPI,Morning (7-11am),1,348.42,0,19,21,0,15.3,4.3,Clear,Medium,0,0,0,Delivered
Aug-23,Wednesday,Pasta,Zomato,Debit Card,Evening (5-8pm),2,881.3,10,28,27,0,23.1,4.7,Stormy,Very High,0,0,0,Cancelled
Jun-23,Tuesday,Biryani,Direct App,Debit Card,Morning (7-11am),5,1874.3,10,20,44,0,3.1,4.3,Cloudy,Medium,0,2,1,Delivered
Jan-23,Friday,Desserts,Direct App,UPI,Dinner (8-11pm),1,65.74,0,10,43,0,5.7,4.5,Clear,Medium,0,0,0,Delivered
Apr-23,Sunday,Burgers,Swiggy,Debit Card,Evening (5-8pm),1,118.77,20,15,16,0,2.1,3.3,Clear,Low,1,0,1,Delivered
Apr-23,Tuesday,South Indian,Zomato,Credit Card,Morning (7-11am),2,247.76,15,18,17,0,8.8,4.5,Cloudy,Low,0,0,1,Delivered
Jun-23,Wednesday,Desserts,Zomato,Wallet,Evening (5-8pm),2,374.62,10,15,16,0,10.3,2.7,Rainy,High,0,0,0,Delivered
Jan-23,Saturday,Chinese,Website,UPI,Dinner (8-11pm),6,2089.38,25,25,22,0,7.5,4.7,Cloudy,Medium,1,0,1,Delivered
Jan-24,Tuesday,Desserts,Swiggy,Wallet,Afternoon (2-5pm),3,392.55,20,12,26,0,20.9,3.9,Clear,Medium,0,1,1,Delivered
Oct-24,Wednesday,Wraps & Rolls,Zomato,UPI,Lunch (11am-2pm),6,671.88,10,16,43,0,9.6,4.5,Clear,High,0,0,0,Delivered
Aug-23,Thursday,Pizza,Zomato,Wallet,Lunch (11am-2pm),5,1391.7,10,25,32,0,7.7,3.6,Clear,Medium,0,0,0,Delivered
Sep-24,Monday,Desserts,Swiggy,Credit Card,Evening (5-8pm),2,265.88,0,12,19,0,14,4.1,Clear,Medium,0,1,0,Delivered
Sep-23,Thursday,Pasta,Zomato,Credit Card,Evening (5-8pm),3,1157.28,0,24,33,0,4.4,3.8,Clear,Medium,1,0,0,Delivered
May-24,Wednesday,Chinese,Website,Wallet,Evening (5-8pm),2,624,0,18,24,0,20.3,4.3,Clear,High,0,0,0,Delivered
Mar-24,Sunday,South Indian,Direct App,Debit Card,Afternoon (2-5pm),6,1044.18,0,12,28,0,2.8,2.7,Rainy,High,0,0,0,Delivered
Feb-24,Tuesday,Desserts,Swiggy,Cash on Delivery,Lunch (11am-2pm),1,200.75,20,7,25,0,24.7,2.7,Stormy,Medium,1,0,0,Cancelled
May-23,Wednesday,Biryani,Zomato,Cash on Delivery,Lunch (11am-2pm),3,893.1,5,25,20,0,19.5,3.1,Clear,Medium,0,0,1,Delivered
May-23,Saturday,Chinese,Direct App,UPI,Afternoon (2-5pm),5,1553.1,5,22,45,0,5.8,2.9,Stormy,Medium,0,0,0,Delivered
Jul-23,Wednesday,Wraps & Rolls,Zomato,UPI,Evening (5-8pm),5,1089.75,25,9,25,0,1.1,4.7,Clear,High,0,0,0,Delivered
Sep-24,Tuesday,South Indian,Swiggy,Cash on Delivery,Late Night (11pm-2am),6,1293.12,0,17,25,0,20.6,3,Clear,Medium,0,0,0,Delivered
Apr-24,Monday,South Indian,Zomato,UPI,Lunch (11am-2pm),2,402.18,0,22,63,0,18,4.9,Clear,Medium,0,0,0,Delivered
Jun-23,Saturday,Desserts,Zomato,Debit Card,Morning (7-11am),3,628.86,0,6,37,0,18.5,3.3,Cloudy,Low,0,0,0,Delivered
Aug-23,Sunday,Chinese,Zomato,Credit Card,Morning (7-11am),3,1182.3,0,20,28,0,19.5,3,Stormy,Medium,0,0,0,Delivered
Apr-24,Wednesday,Pizza,Website,Wallet,Morning (7-11am),5,2913.95,0,19,39,0,2.8,4.5,Cloudy,Medium,0,0,0,Delivered
Jan-24,Saturday,Wraps & Rolls,Swiggy,Credit Card,Evening (5-8pm),4,954.04,20,16,43,0,9.6,4.1,Clear,High,0,0,1,Delivered
Nov-23,Saturday,Pizza,Zomato,Wallet,Afternoon (2-5pm),4,2260.92,5,22,40,0,3.8,3.7,Cloudy,Medium,0,1,1,Delivered
May-24,Tuesday,Pizza,Website,Cash on Delivery,Morning (7-11am),6,2114.58,0,28,15,0,21.7,3.9,Clear,Medium,4,0,0,Delivered
Jan-24,Monday,Biryani,Zomato,Wallet,Lunch (11am-2pm),2,730.56,20,32,28,0,16,4.3,Rainy,High,1,0,1,Delivered
Sep-24,Friday,Biryani,Zomato,Debit Card,Late Night (11pm-2am),2,594.78,0,31,57,0,8.9,3.1,Cloudy,High,1,0,1,Delivered
Feb-23,Friday,South Indian,Direct App,Cash on Delivery,Dinner (8-11pm),2,478.84,0,18,27,0,2.5,5,Clear,Medium,0,0,0,Delivered
Sep-24,Monday,Healthy Bowls,Zomato,UPI,Evening (5-8pm),1,246.41,5,13,19,0,8.5,4.9,Cloudy,Medium,1,0,1,Refunded
Feb-23,Wednesday,Beverages,Zomato,Debit Card,Afternoon (2-5pm),6,506.4,15,10,43,0,8.8,4.1,Cloudy,Medium,0,1,1,Delivered
Jan-24,Monday,Burgers,Zomato,Cash on Delivery,Dinner (8-11pm),1,269.1,10,13,22,0,18.5,3,Clear,Very High,1,1,0,Cancelled
Jun-23,Tuesday,Pasta,Zomato,Wallet,Late Night (11pm-2am),3,1029.78,5,18,26,0,16.3,4.2,Cloudy,Low,0,0,0,Delivered
Aug-23,Sunday,Pizza,Website,Wallet,Afternoon (2-5pm),3,1594.29,0,26,36,0,22.3,2.7,Clear,Very High,1,0,0,Cancelled
Jun-23,Friday,Wraps & Rolls,Website,Debit Card,Dinner (8-11pm),4,497.2,0,15,39,0,12.3,2.6,Cloudy,High,0,0,0,Delivered
Sep-24,Monday,Pasta,Zomato,Wallet,Evening (5-8pm),1,464.23,15,25,50,0,3.9,3.1,Rainy,Medium,0,0,1,Delivered
May-24,Thursday,Desserts,Website,UPI,Lunch (11am-2pm),6,688.44,5,9,36,0,18.1,3.7,Rainy,Low,0,0,0,Delivered
Sep-24,Tuesday,Pasta,Direct App,Credit Card,Evening (5-8pm),6,2748.96,5,22,27,0,19.3,4.7,Cloudy,Medium,1,0,1,Delivered
Mar-24,Sunday,South Indian,Website,Credit Card,Afternoon (2-5pm),3,674.22,0,16,25,0,14.5,4.3,Cloudy,Medium,0,1,1,Delivered
Jun-23,Sunday,Wraps & Rolls,Website,UPI,Evening (5-8pm),6,1038.54,15,17,40,0,19.5,4.4,Clear,Low,0,0,0,Delivered
Dec-23,Saturday,Desserts,Swiggy,Credit Card,Late Night (11pm-2am),4,391.92,0,5,41,0,12.9,3.6,Rainy,High,0,0,1,Delivered
Sep-23,Tuesday,Biryani,Zomato,UPI,Afternoon (2-5pm),2,413.1,25,31,19,0,13.5,3.4,Clear,Very High,1,0,0,Cancelled
Mar-24,Sunday,Burgers,Swiggy,Credit Card,Lunch (11am-2pm),5,799.95,10,17,43,0,11.3,3.4,Clear,Medium,0,0,0,Delivered
Dec-24,Sunday,Healthy Bowls,Website,UPI,Lunch (11am-2pm),3,1118.04,0,18,36,0,1.6,5,Clear,High,0,0,0,Delivered
May-23,Monday,South Indian,Direct App,Debit Card,Dinner (8-11pm),2,206.52,0,19,28,0,3.6,2.6,Clear,Low,2,1,0,Cancelled
Jul-24,Friday,Desserts,Zomato,UPI,Late Night (11pm-2am),3,218.82,20,9,27,0,1.8,4.7,Cloudy,Medium,0,0,0,Delivered
Oct-24,Thursday,Chinese,Swiggy,Credit Card,Lunch (11am-2pm),5,1121.45,15,18,15,0,16.3,3.9,Clear,Low,0,0,1,Delivered
Jul-24,Friday,Pasta,Website,Cash on Delivery,Lunch (11am-2pm),1,267.41,5,26,34,0,8.5,3.6,Cloudy,High,1,0,1,Delivered
Nov-24,Tuesday,Burgers,Website,UPI,Lunch (11am-2pm),4,1381.6,15,11,40,0,13.2,4.3,Clear,Very High,1,0,0,Delivered
Oct-24,Wednesday,South Indian,Swiggy,Cash on Delivery,Dinner (8-11pm),1,250.8,15,20,31,0,22.8,3.7,Clear,High,1,2,1,Delivered
Mar-23,Saturday,Pizza,Swiggy,UPI,Lunch (11am-2pm),6,1519.56,0,20,42,0,7,4.7,Cloudy,Low,0,0,1,Delivered
May-23,Saturday,Chinese,Website,Wallet,Morning (7-11am),6,1364.94,10,18,26,0,10.8,4.8,Clear,Medium,0,0,0,Delivered
Apr-24,Saturday,Pizza,Direct App,Cash on Delivery,Afternoon (2-5pm),6,2593.08,0,30,22,0,19.1,3.6,Clear,Medium,0,2,0,Delivered
Jul-23,Friday,Healthy Bowls,Swiggy,Wallet,Evening (5-8pm),5,2249.1,0,10,29,0,6.5,3.2,Cloudy,Medium,2,0,1,Refunded
Aug-23,Monday,Pasta,Direct App,UPI,Afternoon (2-5pm),3,692.64,15,25,34,0,2.8,4,Clear,High,0,0,0,Delivered
Mar-23,Tuesday,Chinese,Zomato,Cash on Delivery,Evening (5-8pm),5,847.85,10,20,39,0,8,4.8,Rainy,High,0,0,0,Delivered
Jul-24,Sunday,Healthy Bowls,Swiggy,UPI,Lunch (11am-2pm),6,1322.52,5,14,15,0,4.9,3,Clear,High,1,1,0,Cancelled
Feb-24,Sunday,Chinese,Zomato,Cash on Delivery,Morning (7-11am),3,766.92,5,26,34,0,23.3,4.1,Clear,Medium,0,0,1,Delivered
Jun-24,Saturday,Chinese,Direct App,UPI,Late Night (11pm-2am),4,759.48,20,18,20,0,20.4,4.1,Cloudy,Medium,1,0,0,Delivered
Jul-23,Sunday,Wraps & Rolls,Website,UPI,Dinner (8-11pm),2,231.82,25,9,26,1,16.2,4.3,Clear,Low,0,0,0,Delivered
Jan-24,Tuesday,Chinese,Website,Debit Card,Morning (7-11am),5,1970.2,25,21,26,0,21.9,2.8,Clear,Medium,0,0,0,Delivered
Nov-24,Friday,Burgers,Direct App,UPI,Morning (7-11am),1,277.17,0,11,31,0,20.3,4.3,Clear,Medium,0,0,1,Delivered
Jul-23,Sunday,Healthy Bowls,Zomato,Debit Card,Late Night (11pm-2am),2,899.44,5,10,34,0,5.5,4.8,Clear,High,1,0,0,Delivered
May-23,Monday,Wraps & Rolls,Zomato,Wallet,Late Night (11pm-2am),2,304.34,10,9,37,0,22.4,2.9,Rainy,High,0,0,0,Cancelled
Mar-23,Thursday,Wraps & Rolls,Swiggy,Cash on Delivery,Evening (5-8pm),2,198.84,20,16,66,0,13.9,3.1,Clear,Low,0,0,1,Delivered
Nov-23,Saturday,Pasta,Website,UPI,Afternoon (2-5pm),2,997.16,20,15,19,0,20.4,4.9,Rainy,Medium,1,0,0,Delivered
Apr-23,Thursday,Pasta,Website,Credit Card,Morning (7-11am),4,880.52,0,15,69,0,22.5,3,Rainy,Low,0,0,1,Cancelled
Jul-23,Thursday,Healthy Bowls,Zomato,Credit Card,Morning (7-11am),1,457.31,0,13,41,0,8.6,4.6,Clear,Low,0,1,1,Delivered
Aug-24,Monday,Wraps & Rolls,Website,Cash on Delivery,Morning (7-11am),6,746.04,0,10,17,0,3.6,3.7,Stormy,High,0,0,1,Delivered
Dec-23,Saturday,Biryani,Direct App,Wallet,Late Night (11pm-2am),6,2347.92,0,20,39,0,6.5,3.1,Clear,Low,0,0,0,Delivered
Apr-23,Wednesday,Chinese,Zomato,Wallet,Afternoon (2-5pm),2,403.7,0,18,44,0,11.3,4.7,Stormy,Medium,2,0,0,Delivered
Oct-24,Sunday,Pizza,Direct App,Credit Card,Afternoon (2-5pm),5,2271.3,0,20,44,0,20.6,3.6,Clear,Low,0,0,1,Delivered
Jan-24,Tuesday,Beverages,Zomato,Credit Card,Dinner (8-11pm),6,787.98,0,9,30,0,21.7,3.8,Cloudy,High,1,1,1,Refunded
Jul-24,Wednesday,Burgers,Website,Debit Card,Evening (5-8pm),4,641.56,5,20,39,0,1.2,3.4,Clear,Medium,1,1,0,Cancelled
Dec-23,Monday,Biryani,Swiggy,Wallet,Evening (5-8pm),2,719.76,5,28,16,0,13.3,4,Clear,Medium,3,1,1,Cancelled
Mar-24,Sunday,Pizza,Direct App,UPI,Dinner (8-11pm),4,1745.24,5,19,16,0,11,2.9,Cloudy,Medium,0,0,0,Delivered
Jan-23,Saturday,Healthy Bowls,Zomato,UPI,Morning (7-11am),3,1190.88,0,16,36,0,6.3,3.5,Cloudy,High,1,0,0,Delivered
Feb-24,Sunday,Biryani,Swiggy,UPI,Afternoon (2-5pm),5,1291.55,0,20,19,0,3.9,4.9,Clear,Very High,0,0,0,Delivered
May-24,Wednesday,Chinese,Direct App,Credit Card,Lunch (11am-2pm),6,1248.42,0,28,43,0,9.1,3.1,Clear,Medium,1,0,1,Delivered
Aug-23,Monday,Biryani,Zomato,UPI,Late Night (11pm-2am),6,2180.04,25,33,43,0,23.6,4.1,Cloudy,High,1,0,0,Delivered
Apr-24,Monday,South Indian,Zomato,Cash on Delivery,Lunch (11am-2pm),4,682.72,0,22,32,0,8.8,3.3,Cloudy,Very High,1,1,0,Cancelled
Jun-24,Wednesday,Wraps & Rolls,Direct App,UPI,Lunch (11am-2pm),3,710.67,0,9,27,0,13.5,4.4,Stormy,Very High,0,0,1,Delivered
Mar-24,Saturday,Pasta,Direct App,Wallet,Afternoon (2-5pm),3,1079.13,5,17,32,0,17.9,2.8,Rainy,High,0,0,0,Delivered
Feb-24,Saturday,Desserts,Website,Credit Card,Lunch (11am-2pm),3,555.48,15,11,44,0,9.7,4.9,Stormy,High,0,0,0,Delivered
Jun-24,Saturday,Healthy Bowls,Swiggy,Credit Card,Lunch (11am-2pm),1,314.7,20,18,39,0,24.3,3.6,Cloudy,Medium,0,1,0,Delivered
May-24,Thursday,Chinese,Direct App,Cash on Delivery,Late Night (11pm-2am),4,1517.64,5,22,24,0,24.1,3.1,Clear,High,2,0,0,Cancelled
Aug-23,Saturday,Wraps & Rolls,Direct App,UPI,Late Night (11pm-2am),4,437.48,20,9,37,0,7,2.7,Clear,Medium,1,0,1,Delivered
Mar-24,Friday,Pasta,Zomato,Debit Card,Evening (5-8pm),3,1255.08,0,16,65,0,12.9,2.9,Rainy,High,1,1,1,Cancelled
Mar-23,Sunday,Wraps & Rolls,Website,Debit Card,Late Night (11pm-2am),2,262.16,5,15,21,0,8.2,3.8,Cloudy,Medium,1,0,0,Delivered
Sep-24,Saturday,Chinese,Zomato,Credit Card,Morning (7-11am),4,986.2,5,17,16,0,7.8,3.3,Clear,High,1,0,1,Delivered
Oct-23,Friday,Desserts,Swiggy,UPI,Lunch (11am-2pm),4,521.96,20,8,29,0,1.9,4.6,Clear,High,0,0,0,Delivered
Mar-24,Saturday,Pizza,Direct App,Wallet,Dinner (8-11pm),5,2510.55,10,24,27,0,15.6,3.6,Stormy,Low,1,0,0,Delivered
Jul-24,Tuesday,Pizza,Swiggy,Cash on Delivery,Afternoon (2-5pm),6,1542.96,25,16,21,0,13.1,3.1,Cloudy,High,1,1,0,Cancelled
May-24,Wednesday,Desserts,Swiggy,Cash on Delivery,Lunch (11am-2pm),3,542.61,0,7,38,0,2.2,4,Clear,Medium,1,0,0,Delivered
Oct-23,Wednesday,Desserts,Direct App,Wallet,Dinner (8-11pm),6,1299.42,10,11,35,0,7.7,4.3,Clear,High,0,0,0,Delivered
Oct-24,Friday,Wraps & Rolls,Website,UPI,Evening (5-8pm),3,434.67,5,15,50,0,22.8,2.9,Clear,Medium,0,0,0,Delivered
Dec-23,Friday,Pasta,Zomato,Wallet,Lunch (11am-2pm),1,254.46,20,24,22,0,6.7,2.9,Clear,Medium,0,0,0,Delivered
Feb-24,Saturday,Healthy Bowls,Swiggy,Wallet,Dinner (8-11pm),6,2411.76,15,10,42,0,4.5,2.6,Clear,Very High,0,0,0,Delivered
Jan-24,Thursday,Burgers,Direct App,Cash on Delivery,Morning (7-11am),1,254.03,25,14,52,0,12.7,4.3,Clear,Medium,0,0,0,Delivered
May-24,Thursday,Pizza,Website,Credit Card,Late Night (11pm-2am),2,715.14,15,22,39,0,24.7,4.2,Rainy,High,0,0,0,Delivered
Mar-24,Wednesday,Desserts,Website,Credit Card,Dinner (8-11pm),2,147.84,0,13,26,0,6.8,3.7,Clear,Medium,0,0,1,Delivered
Mar-23,Wednesday,Healthy Bowls,Swiggy,Wallet,Afternoon (2-5pm),2,592.86,5,17,38,0,17.1,4.6,Rainy,Medium,0,1,0,Cancelled
Dec-24,Thursday,Wraps & Rolls,Website,UPI,Lunch (11am-2pm),1,196.87,5,18,29,0,19.3,4.5,Rainy,Medium,1,0,0,Delivered
Feb-24,Wednesday,Burgers,Swiggy,UPI,Afternoon (2-5pm),6,1523.46,10,13,24,0,6.7,4,Clear,Medium,0,0,1,Delivered
Dec-23,Thursday,South Indian,Swiggy,Credit Card,Evening (5-8pm),1,271.55,0,22,34,0,18.5,4.7,Cloudy,Medium,1,0,1,Refunded
Mar-23,Friday,Healthy Bowls,Zomato,UPI,Afternoon (2-5pm),1,431.48,20,19,37,0,9.8,3,Clear,Low,1,1,0,Cancelled
Dec-23,Sunday,Healthy Bowls,Website,Wallet,Afternoon (2-5pm),4,1540.52,15,14,47,0,16.2,2.8,Rainy,Medium,0,0,0,Delivered
May-24,Tuesday,Chinese,Zomato,Debit Card,Lunch (11am-2pm),2,390.9,25,27,19,0,16.2,3.2,Clear,Low,0,0,1,Delivered
Jul-23,Friday,Biryani,Zomato,UPI,Lunch (11am-2pm),5,1202.15,0,28,17,0,13.9,2.6,Cloudy,Very High,1,0,0,Delivered
Jan-24,Tuesday,Healthy Bowls,Website,Cash on Delivery,Late Night (11pm-2am),6,1376.7,25,10,34,0,3.2,3.8,Cloudy,Very High,0,0,1,Delivered
Oct-24,Saturday,Healthy Bowls,Zomato,Debit Card,Morning (7-11am),2,719.68,20,10,20,0,21,4.8,Clear,Medium,0,0,1,Delivered
Sep-24,Sunday,Pasta,Direct App,Cash on Delivery,Lunch (11am-2pm),4,1362.76,20,21,34,0,8.7,2.6,Clear,High,1,1,0,Cancelled
Apr-24,Saturday,Beverages,Direct App,Wallet,Late Night (11pm-2am),4,543,0,7,59,0,5.5,2.8,Cloudy,Medium,0,2,1,Cancelled
Jun-24,Wednesday,Desserts,Direct App,UPI,Morning (7-11am),2,425.16,5,8,43,0,2,3.6,Cloudy,High,2,0,0,Delivered
May-24,Wednesday,Biryani,Swiggy,Wallet,Late Night (11pm-2am),1,386.88,20,25,42,0,15.2,4.8,Clear,High,2,0,0,Delivered
Feb-24,Wednesday,Healthy Bowls,Website,Credit Card,Evening (5-8pm),5,1873.8,15,17,39,0,17.3,3.3,Cloudy,Very High,0,0,1,Delivered
Sep-24,Thursday,Burgers,Zomato,Cash on Delivery,Dinner (8-11pm),6,958.32,0,14,40,0,1.4,3.8,Clear,Medium,0,0,0,Delivered
